VoyageToMoonResult [timestamp=2014-09-11T17:41:00.000Z, speed=10837.0, surface=115273.19672208582, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8278287,22, e= 1,224, omega=130,523, i=168,871, OMEGA=163,274, Tp=2014-09-16T10:59:48.881Z, period=67575,394), trueAnomaly=1.5518100833666478E-4}, velocity=2426.5684923152758, minTimestamp=2014-09-16T10:59:49.000Z, duration=4 d 17 h 18 m 49 s, distance=1852273.1967220858]
VoyageToMoonResult [timestamp=2014-09-11T17:42:00.000Z, speed=10837.0, surface=112293.58761742152, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8278096,95, e= 1,223, omega=130,567, i=168,858, OMEGA=163,306, Tp=2014-09-16T10:59:34.619Z, period=67573,064), trueAnomaly=4.993844841985443E-4}, velocity=2428.3288257247204, minTimestamp=2014-09-16T10:59:35.000Z, duration=4 d 17 h 17 m 35 s, distance=1849293.5876174215]
VoyageToMoonResult [timestamp=2014-09-11T17:43:00.000Z, speed=10837.0, surface=109308.30080844578, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277965,64, e= 1,223, omega=130,611, i=168,845, OMEGA=163,338, Tp=2014-09-16T10:59:20.357Z, period=67571,456), trueAnomaly=6.282714141942431}, velocity=2430.096043958799, minTimestamp=2014-09-16T10:59:20.000Z, duration=4 d 17 h 16 m 20 s, distance=1846308.3008084458]
VoyageToMoonResult [timestamp=2014-09-11T17:44:00.000Z, speed=10837.0, surface=106317.22702059243, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277773,99, e= 1,223, omega=130,655, i=168,833, OMEGA=163,370, Tp=2014-09-16T10:59:06.095Z, period=67569,110), trueAnomaly=6.2830593743365375}, velocity=2431.8720123785383, minTimestamp=2014-09-16T10:59:06.000Z, duration=4 d 17 h 15 m 6 s, distance=1843317.2270205924]
VoyageToMoonResult [timestamp=2014-09-11T17:45:00.000Z, speed=10837.0, surface=103320.67542854906, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277581,50, e= 1,222, omega=130,699, i=168,820, OMEGA=163,401, Tp=2014-09-16T10:58:51.832Z, period=67566,753), trueAnomaly=2.2132876603357684E-4}, velocity=2433.6557143939986, minTimestamp=2014-09-16T10:58:52.000Z, duration=4 d 17 h 13 m 52 s, distance=1840320.675428549]
VoyageToMoonResult [timestamp=2014-09-11T17:46:00.000Z, speed=10837.0, surface=100318.66428411659, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277388,16, e= 1,222, omega=130,744, i=168,807, OMEGA=163,433, Tp=2014-09-16T10:58:37.569Z, period=67564,386), trueAnomaly=5.70607901171077E-4}, velocity=2435.447182137881, minTimestamp=2014-09-16T10:58:38.000Z, duration=4 d 17 h 12 m 38 s, distance=1837318.6642841166]
VoyageToMoonResult [timestamp=2014-09-11T17:47:00.000Z, speed=10837.0, surface=97310.9585808583, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277255,01, e= 1,222, omega=130,788, i=168,794, OMEGA=163,465, Tp=2014-09-16T10:58:23.306Z, period=67562,755), trueAnomaly=6.282777867423318}, velocity=2437.2457029444645, minTimestamp=2014-09-16T10:58:23.000Z, duration=4 d 17 h 11 m 23 s, distance=1834310.9585808583]
VoyageToMoonResult [timestamp=2014-09-11T17:48:00.000Z, speed=10837.0, surface=94297.61252634553, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8277060,31, e= 1,221, omega=130,833, i=168,781, OMEGA=163,497, Tp=2014-09-16T10:58:09.043Z, period=67560,371), trueAnomaly=6.283127973289281}, velocity=2439.0530778801594, minTimestamp=2014-09-16T10:58:09.000Z, duration=4 d 17 h 10 m 9 s, distance=1831297.6125263455]
VoyageToMoonResult [timestamp=2014-09-11T17:49:00.000Z, speed=10837.0, surface=91278.85798538243, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8276864,75, e= 1,221, omega=130,877, i=168,768, OMEGA=163,529, Tp=2014-09-16T10:57:54.779Z, period=67557,977), trueAnomaly=2.947350752604134E-4}, velocity=2440.868320035912, minTimestamp=2014-09-16T10:57:55.000Z, duration=4 d 17 h 8 m 55 s, distance=1828278.8579853824]
VoyageToMoonResult [timestamp=2014-09-11T17:50:00.000Z, speed=10837.0, surface=88254.71297256416, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8276668,35, e= 1,221, omega=130,922, i=168,755, OMEGA=163,561, Tp=2014-09-16T10:57:40.515Z, period=67555,573), trueAnomaly=6.487546382663204E-4}, velocity=2442.6914627027627, minTimestamp=2014-09-16T10:57:41.000Z, duration=4 d 17 h 7 m 41 s, distance=1825254.7129725642]
