VoyageToMoonResult [timestamp=2014-09-12T02:36:00.000Z, speed=10835.0, surface=132542.04276190628, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8270321.69, e= 1.226, omega=137.320, i=19.455, OMEGA=188.034, Tp=2014-09-16T10:40:52.077Z, period=67477.884), trueAnomaly=6.283085534018103}, velocity=2416.5861434093395, minTimestamp=2014-09-16T10:40:52.000Z, duration=4 d 8 h 4 m 52 s, distance=1869542.0427619063]
VoyageToMoonResult [timestamp=2014-09-12T02:39:00.000Z, speed=10835.0, surface=149529.6561318324, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8269006.59, e= 1.228, omega=137.164, i=19.382, OMEGA=188.089, Tp=2014-09-16T10:40:50.426Z, period=67461.789), trueAnomaly=6.282641275459449}, velocity=2406.8104692283314, minTimestamp=2014-09-16T10:40:50.000Z, duration=4 d 8 h 1 m 50 s, distance=1886529.6561318324]
VoyageToMoonResult [timestamp=2014-09-12T02:42:00.000Z, speed=10835.0, surface=166653.57933352096, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8267633.37, e= 1.230, omega=137.008, i=19.309, OMEGA=188.144, Tp=2014-09-16T10:40:48.969Z, period=67444.985), trueAnomaly=3.866126014752244E-5}, velocity=2397.0947357381306, minTimestamp=2014-09-16T10:40:49.000Z, duration=4 d 7 h 58 m 49 s, distance=1903653.579333521]
VoyageToMoonResult [timestamp=2014-09-12T02:45:00.000Z, speed=10835.0, surface=183914.69505733647, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8266266.69, e= 1.232, omega=136.852, i=19.236, OMEGA=188.199, Tp=2014-09-16T10:40:47.706Z, period=67428.262), trueAnomaly=3.6533560736486993E-4}, velocity=2387.4376411203325, minTimestamp=2014-09-16T10:40:48.000Z, duration=4 d 7 h 55 m 48 s, distance=1920914.6950573365]
VoyageToMoonResult [timestamp=2014-09-12T03:57:00.000Z, speed=10839.0, surface=181054.9411607827, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7802050.00, e= 1.246, omega=132.057, i=169.385, OMEGA=174.775, Tp=2014-09-16T08:26:42.815Z, period=61828.818), trueAnomaly=2.30710337754951E-4}, velocity=2396.4087188411095, minTimestamp=2014-09-16T08:26:43.000Z, duration=4 d 4 h 29 m 43 s, distance=1918054.9411607827]
VoyageToMoonResult [timestamp=2014-09-12T04:00:00.000Z, speed=10839.0, surface=153290.6423322691, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7800090.30, e= 1.242, omega=132.415, i=169.263, OMEGA=174.950, Tp=2014-09-16T08:25:59.656Z, period=61805.524), trueAnomaly=4.3780000618378484E-4}, velocity=2412.063111514687, minTimestamp=2014-09-16T08:26:00.000Z, duration=4 d 4 h 26 m, distance=1890290.642332269]
VoyageToMoonResult [timestamp=2014-09-12T04:03:00.000Z, speed=10839.0, surface=125621.02585405018, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7798133.69, e= 1.239, omega=132.774, i=169.138, OMEGA=175.124, Tp=2014-09-16T08:25:16.634Z, period=61782.270), trueAnomaly=4.768196113903731E-4}, velocity=2428.022599568397, minTimestamp=2014-09-16T08:25:17.000Z, duration=4 d 4 h 22 m 17 s, distance=1862621.0258540502]
VoyageToMoonResult [timestamp=2014-09-12T04:06:00.000Z, speed=10839.0, surface=98048.63827373041, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7796181.29, e= 1.235, omega=133.134, i=169.011, OMEGA=175.297, Tp=2014-09-16T08:24:33.750Z, period=61759.069), trueAnomaly=3.325269428642928E-4}, velocity=2444.295475103012, minTimestamp=2014-09-16T08:24:34.000Z, duration=4 d 4 h 18 m 34 s, distance=1835048.6382737304]
VoyageToMoonResult [timestamp=2014-09-12T06:33:00.000Z, speed=10840.0, surface=182839.10133680794, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7567652.98, e= 1.254, omega=132.681, i=169.357, OMEGA=178.309, Tp=2014-09-16T07:42:27.587Z, period=59063.566), trueAnomaly=5.150675284440879E-4}, velocity=2399.4776384707934, minTimestamp=2014-09-16T07:42:28.000Z, duration=4 d 1 h 9 m 28 s, distance=1919839.101336808]
VoyageToMoonResult [timestamp=2014-09-12T06:36:00.000Z, speed=10836.0, surface=83428.66103069135, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8015615.63, e= 1.227, omega=138.270, i=19.946, OMEGA=190.743, Tp=2014-09-16T09:49:22.058Z, period=64384.774), trueAnomaly=6.283106254463352}, velocity=2449.5485265945285, minTimestamp=2014-09-16T09:49:22.000Z, duration=4 d 3 h 13 m 22 s, distance=1820428.6610306913]
VoyageToMoonResult [timestamp=2014-09-12T06:36:00.000Z, speed=10840.0, surface=149514.65384641476, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7565403.88, e= 1.249, omega=133.097, i=169.208, OMEGA=178.495, Tp=2014-09-16T07:41:46.641Z, period=59037.237), trueAnomaly=4.5958225195435597E-4}, velocity=2418.251590759309, minTimestamp=2014-09-16T07:41:47.000Z, duration=4 d 1 h 5 m 47 s, distance=1886514.6538464148]
VoyageToMoonResult [timestamp=2014-09-12T06:39:00.000Z, speed=10836.0, surface=108305.97213908704, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8013661.14, e= 1.230, omega=138.037, i=19.832, OMEGA=190.806, Tp=2014-09-16T09:49:36.109Z, period=64361.226), trueAnomaly=6.283041463518871}, velocity=2434.706130707183, minTimestamp=2014-09-16T09:49:36.000Z, duration=4 d 3 h 10 m 36 s, distance=1845305.972139087]
VoyageToMoonResult [timestamp=2014-09-12T06:39:00.000Z, speed=10840.0, surface=116356.40066775563, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7563161.99, e= 1.245, omega=133.514, i=169.054, OMEGA=178.680, Tp=2014-09-16T07:41:05.876Z, period=59010.997), trueAnomaly=1.617695097360515E-4}, velocity=2437.4493630561788, minTimestamp=2014-09-16T07:41:06.000Z, duration=4 d 1 h 2 m 6 s, distance=1853356.4006677556]
VoyageToMoonResult [timestamp=2014-09-12T06:42:00.000Z, speed=10836.0, surface=133392.8827567431, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8011715.24, e= 1.233, omega=137.805, i=19.720, OMEGA=190.869, Tp=2014-09-16T09:49:50.405Z, period=64337.785), trueAnomaly=6.282661108910701}, velocity=2420.0504458920523, minTimestamp=2014-09-16T09:49:50.000Z, duration=4 d 3 h 7 m 50 s, distance=1870392.882756743]
VoyageToMoonResult [timestamp=2014-09-12T06:42:00.000Z, speed=10840.0, surface=83368.41257693106, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7560929.13, e= 1.241, omega=133.933, i=168.898, OMEGA=178.864, Tp=2014-09-16T07:40:25.299Z, period=58984.866), trueAnomaly=6.282781441273031}, velocity=2457.084169096015, minTimestamp=2014-09-16T07:40:25.000Z, duration=4 d 58 m 25 s, distance=1820368.412576931]
VoyageToMoonResult [timestamp=2014-09-12T06:45:00.000Z, speed=10836.0, surface=158689.2882053326, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8009715.97, e= 1.237, omega=137.573, i=19.609, OMEGA=190.931, Tp=2014-09-16T09:50:04.945Z, period=64313.704), trueAnomaly=6.893724415448155E-5}, velocity=2405.579746444906, minTimestamp=2014-09-16T09:50:05.000Z, duration=4 d 3 h 5 m 5 s, distance=1895689.2882053326]
VoyageToMoonResult [timestamp=2014-09-12T06:48:00.000Z, speed=10836.0, surface=184195.6299024704, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8007726.45, e= 1.240, omega=137.341, i=19.499, OMEGA=190.993, Tp=2014-09-16T09:50:19.729Z, period=64289.743), trueAnomaly=3.365673222408514E-4}, velocity=2391.2900599210157, minTimestamp=2014-09-16T09:50:20.000Z, duration=4 d 3 h 2 m 20 s, distance=1921195.6299024704]
VoyageToMoonResult [timestamp=2014-09-12T06:33:00.000Z, speed=10840.0, surface=182839.10133680794, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7567652.98, e= 1.254, omega=132.681, i=169.357, OMEGA=178.309, Tp=2014-09-16T07:42:27.587Z, period=59063.566), trueAnomaly=5.150675284440879E-4}, velocity=2399.4776384707934, minTimestamp=2014-09-16T07:42:28.000Z, duration=4 d 1 h 9 m 28 s, distance=1919839.101336808]
VoyageToMoonResult [timestamp=2014-09-12T06:36:00.000Z, speed=10836.0, surface=83428.66103069135, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8015615.63, e= 1.227, omega=138.270, i=19.946, OMEGA=190.743, Tp=2014-09-16T09:49:22.058Z, period=64384.774), trueAnomaly=6.283106254463352}, velocity=2449.5485265945285, minTimestamp=2014-09-16T09:49:22.000Z, duration=4 d 3 h 13 m 22 s, distance=1820428.6610306913]
VoyageToMoonResult [timestamp=2014-09-12T06:36:00.000Z, speed=10840.0, surface=149514.65384641476, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7565403.88, e= 1.249, omega=133.097, i=169.208, OMEGA=178.495, Tp=2014-09-16T07:41:46.641Z, period=59037.237), trueAnomaly=4.5958225195435597E-4}, velocity=2418.251590759309, minTimestamp=2014-09-16T07:41:47.000Z, duration=4 d 1 h 5 m 47 s, distance=1886514.6538464148]
VoyageToMoonResult [timestamp=2014-09-12T06:39:00.000Z, speed=10836.0, surface=108305.97213908704, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8013661.14, e= 1.230, omega=138.037, i=19.832, OMEGA=190.806, Tp=2014-09-16T09:49:36.109Z, period=64361.226), trueAnomaly=6.283041463518871}, velocity=2434.706130707183, minTimestamp=2014-09-16T09:49:36.000Z, duration=4 d 3 h 10 m 36 s, distance=1845305.972139087]
VoyageToMoonResult [timestamp=2014-09-12T06:39:00.000Z, speed=10840.0, surface=116356.40066775563, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7563161.99, e= 1.245, omega=133.514, i=169.054, OMEGA=178.680, Tp=2014-09-16T07:41:05.876Z, period=59010.997), trueAnomaly=1.617695097360515E-4}, velocity=2437.4493630561788, minTimestamp=2014-09-16T07:41:06.000Z, duration=4 d 1 h 2 m 6 s, distance=1853356.4006677556]
VoyageToMoonResult [timestamp=2014-09-12T06:42:00.000Z, speed=10836.0, surface=133392.8827567431, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8011715.24, e= 1.233, omega=137.805, i=19.720, OMEGA=190.869, Tp=2014-09-16T09:49:50.405Z, period=64337.785), trueAnomaly=6.282661108910701}, velocity=2420.0504458920523, minTimestamp=2014-09-16T09:49:50.000Z, duration=4 d 3 h 7 m 50 s, distance=1870392.882756743]
VoyageToMoonResult [timestamp=2014-09-12T06:42:00.000Z, speed=10840.0, surface=83368.41257693106, keplerianElements=KeplerianElements { keplerianOrbit=(a=-7560929.13, e= 1.241, omega=133.933, i=168.898, OMEGA=178.864, Tp=2014-09-16T07:40:25.299Z, period=58984.866), trueAnomaly=6.282781441273031}, velocity=2457.084169096015, minTimestamp=2014-09-16T07:40:25.000Z, duration=4 d 58 m 25 s, distance=1820368.412576931]
